"","Amphisbaena_ridleyi","Aquatic_invertebrates","Birds","Fish","Kerodon_rupestris","Mammals","Mus_musculus","Plants","Reptiles","Terrestrial_invertebrates","Trachylepis_atlantica","Rhinella","Rattus_spp","Salvator_merianae","Felis_catus"
"Amphisbaena_ridleyi",NA,-0.00117495217569494,0.000269736229530289,1.31007643201669e-06,-0.000475634849124818,-0.000361279791303457,-0.00157818363014264,-0.126153676845737,3.19822506297988e-09,-0.0043759043909117,-0.0109426769942841,0.000290836506967976,0.0131933289212441,-0.197961378978898,0.00108720410014019
"Aquatic_invertebrates",-1.69837292493144e-06,NA,-8.92257167459523e-05,-4.33358577163409e-07,-1.82496959246262e-05,0.000137417789736203,-1.36988630270395e-05,-0.000230999446477132,-1.04464017217315e-06,-0.0735864137584123,0.000508759404312284,-0.094996284729939,0.00400356106177715,-0.00171833350915614,-0.000359634911680461
"Birds",1.6023767272967e-06,-0.000379192203941737,NA,-0.000116261553235493,-0.00368731195555721,-0.000643134269113278,1.29245697353774e-05,-0.0168394848804395,4.11097246894581e-09,-0.00838931059878531,-0.0131161637989231,0.000373838879242512,-0.00103234644959185,0.00162120909041047,-0.0964829488396477
"Fish",1.6023767272967e-06,-0.000379192203941737,-0.0239374987921906,NA,-0.00368731195555721,-0.000643134269113278,1.29245697353774e-05,-0.0168394848804395,4.11097246894581e-09,-0.00838931059878531,-0.0131161637989231,0.000373838879242512,-0.00103234644959185,0.00162120909041047,-0.0964829488396477
"Kerodon_rupestris",-0.000275316567816456,-0.00248945194124644,-0.0510949031598796,-0.000248161800669111,NA,-0.00189782472793776,-0.0022206689097711,-0.215947654178895,1.33974863581685e-08,-0.0242761992221308,-0.0437974033588544,0.00121832518282199,0.0165766213424399,-0.278552299768893,-0.205944111802931
"Mammals",4.48858190161219e-06,0.000120791701672434,0.00154814642807664,7.51916104212572e-06,0.000250614691361122,NA,3.62043387251453e-05,-0.0978579057221801,5.37870307274534e-08,-0.122185257321789,-0.0704027876103489,0.00489122304681598,-0.425703567805825,0.00454133516668216,0.00623998914477785
"Mus_musculus",-0.000489154527407436,-0.00293738043923735,0.000674340573825722,3.27519108004172e-06,-0.00118908712281205,-0.000903199478258642,NA,-0.315384192114342,7.9955626574497e-09,-0.0109397609772793,-0.0273566924857102,0.000727091267419939,0.0329833223031103,-0.494903447447245,0.00271801025035046
"Plants",-6.6782865287505e-06,-5.70374114768977e-05,-0.00174144493204956,-8.45798863247194e-06,-0.000286212923903347,-0.00268161308609174,-5.38662216464437e-05,NA,9.49062604698526e-09,-0.0213678685740427,-0.0133337192093027,0.000863047619879727,-0.070978287891906,-0.0067567748859169,-0.00701910185958177
"Reptiles",-7.1593933474837e-07,-0.00675376970649634,-7.34380112475926e-05,-3.56679589972707e-07,-1.32179116452889e-05,0.000725790414202224,-5.77467689128615e-06,0.00423608392359326,NA,-0.374816274452177,0.00325423088417605,-0.484294150331085,0.0198891492591186,-0.000724353604183096,-0.000296000678416683
"Terrestrial_invertebrates",1.85171803403212e-06,-0.000518964312953236,0.000188434834655672,9.15205333311138e-07,3.39547079391386e-05,-0.00184911220376219,1.49357254467117e-05,-0.0107740518090489,-4.20846563945218e-07,NA,-0.0082889720875862,-0.0382704600886532,-0.0506762392268068,0.00187348084786181,0.000759509114528792
"Trachylepis_atlantica",-6.6127709986468e-06,1.7229505390852e-05,-0.000540482290196005,-2.62505749242958e-06,-0.000100831951767534,-0.0150395756422442,-5.33377815966409e-05,-0.10254315176873,5.21845634891774e-08,-0.118300686193661,NA,0.00474549972687034,-0.408155969180584,-0.00669048936693887,-0.00217847844532234
"Rhinella",1.43187866949674e-06,0.0135075394129927,0.000146876022495185,7.13359179945414e-07,2.64358232905778e-05,-0.00145158082840445,1.15493537825723e-05,-0.00847216784718652,1.06512191718351e-05,0.749632548904354,-0.0065084617683521,NA,-0.0397782985182373,0.00144870720836619,0.000592001356833367
"Rattus_spp",-4.11185250136773e-05,-0.000464106940315812,-0.00454512982237725,-2.20751490117645e-05,-0.000809629151600255,0.0322640013462371,-0.000331656866267459,0.181691568635015,-1.10940849080253e-07,0.25254408020581,0.143667215909229,-0.0100886111487411,NA,-0.0416017815291824,-0.0183196887832344
"Salvator_merianae",0.000978309054814873,0.0058747608784747,-0.00134868114765144,-6.55038216008343e-06,0.00237817424562409,0.00180639895651728,0.00789091815071319,0.630768384228685,-1.59911253148994e-08,0.0218795219545585,0.0547133849714203,-0.00145418253483988,-0.0659666446062207,NA,-0.00543602050070093
"Felis_catus",-1.6023767272967e-05,0.00379192203941737,0.239374987921906,0.00116261553235493,0.0368731195555721,0.00643134269113278,-0.000129245697353774,0.168394848804395,-4.11097246894581e-08,0.0838931059878531,0.131161637989231,-0.00373838879242512,0.0103234644959185,-0.0162120909041047,NA
